"Tipo: quadra, Cep: B32-12.1, x: 4255.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-13.2, x: 4365.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-14.3, x: 4475.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-15.4, x: 4585.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-11.1, x: 4255.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-12.2, x: 4365.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-13.3, x: 4475.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-14.4, x: 4585.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-15.5, x: 4695.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-10.1, x: 4255.000000, y: 1010.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-11.2, x: 4365.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-12.3, x: 4475.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-13.4, x: 4585.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-14.5, x: 4695.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-15.6, x: 4805.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-9.1, x: 4255.000000, y: 925.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
