"Tipo: quadra, Cep: B31-15.13, x: 3570.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.12, x: 3460.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.14, x: 3680.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.13, x: 3570.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.14, x: 3680.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.12, x: 3460.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.13, x: 3570.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.14, x: 3680.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.15, x: 3790.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.12, x: 3460.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.13, x: 3570.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.15, x: 3790.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.14, x: 3680.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.15, x: 3790.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.11, x: 3350.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.11, x: 3350.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.13, x: 3570.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.14, x: 3680.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.15, x: 3790.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.16, x: 3900.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.11, x: 3350.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.12, x: 3460.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-18.13, x: 3570.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.16, x: 3900.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-18.14, x: 3680.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.16, x: 3900.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-18.15, x: 3790.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-18.16, x: 3900.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.10, x: 3240.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.12, x: 3460.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.10, x: 3240.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-12.13, x: 3570.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-12.14, x: 3680.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.15, x: 3790.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.16, x: 3900.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-15.1, x: 4255.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.10, x: 3240.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.11, x: 3350.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-18.12, x: 3460.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-19.13, x: 3570.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-16.1, x: 4255.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-19.14, x: 3680.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-17.1, x: 4255.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-19.15, x: 3790.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-18.1, x: 4255.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-19.16, x: 3900.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-19.1, x: 4255.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.9, x: 3130.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.11, x: 3350.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-12.12, x: 3460.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.9, x: 3130.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-11.13, x: 3570.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-11.14, x: 3680.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-12.15, x: 3790.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.16, x: 3900.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-14.1, x: 4255.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-15.2, x: 4365.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.9, x: 3130.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.10, x: 3240.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-18.11, x: 3350.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-19.12, x: 3460.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-20.13, x: 3570.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-16.2, x: 4365.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-20.14, x: 3680.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-17.2, x: 4365.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-20.15, x: 3790.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-18.2, x: 4365.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-20.16, x: 3900.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-19.2, x: 4365.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-20.1, x: 4255.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-20.2, x: 4365.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.8, x: 3020.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.10, x: 3240.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-12.11, x: 3350.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-11.12, x: 3460.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.8, x: 3020.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-10.13, x: 3570.000000, y: 1010.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-10.14, x: 3680.000000, y: 1010.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-11.15, x: 3790.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-12.16, x: 3900.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-13.1, x: 4255.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-14.2, x: 4365.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-15.3, x: 4475.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.8, x: 3020.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.9, x: 3130.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-18.10, x: 3240.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-19.11, x: 3350.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-20.12, x: 3460.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B41-1.10, x: 3520.000000, y: 2190.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: grey, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-16.3, x: 4475.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B41-1.11, x: 3650.000000, y: 2190.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: grey, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-17.3, x: 4475.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B41-1.12, x: 3780.000000, y: 2190.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: grey, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-18.3, x: 4475.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-19.3, x: 4475.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-20.3, x: 4475.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B42-1.1, x: 4355.000000, y: 2190.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: blue, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B42-1.2, x: 4485.000000, y: 2190.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: blue, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-14.7, x: 2910.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.9, x: 3130.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-12.10, x: 3240.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-11.11, x: 3350.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-10.12, x: 3460.000000, y: 1010.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.7, x: 2910.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-9.13, x: 3570.000000, y: 925.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-9.14, x: 3680.000000, y: 925.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-10.15, x: 3790.000000, y: 1010.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-11.16, x: 3900.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-12.1, x: 4255.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-13.2, x: 4365.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-14.3, x: 4475.000000, y: 1350.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-15.4, x: 4585.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-16.7, x: 2910.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-17.8, x: 3020.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-18.9, x: 3130.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-19.10, x: 3240.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-20.11, x: 3350.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B41-1.9, x: 3390.000000, y: 2190.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: grey, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B41-2.10, x: 3520.000000, y: 2295.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: grey, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-16.4, x: 4585.000000, y: 1520.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B41-2.11, x: 3650.000000, y: 2295.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: grey, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-17.4, x: 4585.000000, y: 1605.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B41-2.12, x: 3780.000000, y: 2295.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: grey, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-18.4, x: 4585.000000, y: 1690.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-19.4, x: 4585.000000, y: 1775.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B32-20.4, x: 4585.000000, y: 1860.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: yellow, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B42-2.1, x: 4355.000000, y: 2295.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: blue, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B42-1.3, x: 4615.000000, y: 2190.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: blue, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B42-2.2, x: 4485.000000, y: 2295.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: blue, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B42-2.3, x: 4615.000000, y: 2295.000000, w: 120.000000, h: 95.000000, sw: 1.0, cfill: blue, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.7, x: 2910.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-13.8, x: 3020.000000, y: 1265.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-12.9, x: 3130.000000, y: 1180.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-11.10, x: 3240.000000, y: 1095.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-10.11, x: 3350.000000, y: 1010.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-9.12, x: 3460.000000, y: 925.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-15.6, x: 2800.000000, y: 1435.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-8.13, x: 3570.000000, y: 840.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-8.14, x: 3680.000000, y: 840.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
